r	numeric	exact
0.054135	0.051282	0.051282
0.055471	0.052477	0.052477
0.056821	0.053682	0.053682
0.058185	0.054896	0.054896
0.059563	0.056119	0.056119
0.060956	0.057351	0.057351
0.062363	0.058592	0.058593
0.063784	0.059842	0.059843
0.065219	0.061101	0.061101
0.066668	0.062368	0.062369
0.068132	0.063644	0.063644
0.069609	0.064928	0.064929
0.071101	0.066221	0.066221
0.072607	0.067522	0.067522
0.074126	0.06883	0.06883
0.07566	0.070147	0.070147
0.077208	0.071471	0.071471
0.07877	0.072804	0.072804
0.080346	0.074143	0.074143
0.081937	0.075491	0.075491
0.083541	0.076845	0.076845
0.085159	0.078207	0.078207
0.086792	0.079576	0.079577
0.088438	0.080953	0.080953
0.090099	0.082336	0.082336
0.091773	0.083726	0.083726
0.093462	0.085123	0.085123
0.095165	0.086526	0.086526
0.096882	0.087936	0.087936
0.098613	0.089352	0.089353
0.10036	0.090775	0.090775
0.10212	0.092204	0.092204
0.10389	0.093639	0.093639
0.10568	0.09508	0.095081
0.10748	0.096527	0.096528
0.1093	0.09798	0.09798
0.11113	0.099439	0.099439
0.11297	0.1009	0.1009
0.11483	0.10237	0.10237
0.1167	0.10385	0.10385
0.11859	0.10533	0.10533
0.12049	0.10681	0.10681
0.12241	0.1083	0.1083
0.12434	0.1098	0.1098
0.12628	0.1113	0.1113
0.12824	0.11281	0.11281
0.13021	0.11432	0.11432
0.1322	0.11583	0.11583
0.1342	0.11735	0.11735
0.13622	0.11887	0.11887
0.13825	0.1204	0.1204
0.1403	0.12193	0.12193
0.14236	0.12347	0.12347
0.14443	0.12501	0.12501
0.14652	0.12655	0.12655
0.14863	0.1281	0.1281
0.15075	0.12965	0.12965
0.15288	0.13121	0.13121
0.15503	0.13276	0.13276
0.15719	0.13433	0.13433
0.15937	0.13589	0.13589
0.16156	0.13746	0.13746
0.16377	0.13903	0.13903
0.16599	0.1406	0.1406
0.16823	0.14218	0.14218
0.17048	0.14376	0.14376
0.17275	0.14534	0.14534
0.17503	0.14693	0.14693
0.17733	0.14852	0.14852
0.17965	0.15011	0.15011
0.18197	0.1517	0.1517
0.18432	0.15329	0.15329
0.18668	0.15489	0.15489
0.18905	0.15649	0.15649
0.19144	0.15809	0.15809
0.19385	0.15969	0.15969
0.19627	0.16129	0.16129
0.1987	0.1629	0.1629
0.20116	0.1645	0.1645
0.20362	0.16611	0.16611
0.20611	0.16772	0.16772
0.20861	0.16933	0.16933
0.21112	0.17094	0.17094
0.21365	0.17255	0.17255
0.2162	0.17417	0.17417
0.21876	0.17578	0.17578
0.22134	0.17739	0.17739
0.22394	0.17901	0.17901
0.22655	0.18062	0.18062
0.22918	0.18224	0.18224
0.23182	0.18385	0.18385
0.23448	0.18547	0.18547
0.23716	0.18709	0.18709
0.23985	0.1887	0.1887
0.24256	0.19032	0.19032
0.24529	0.19193	0.19193
0.24803	0.19355	0.19355
0.25079	0.19516	0.19516
0.25357	0.19677	0.19677
0.25636	0.19839	0.19839
0.25917	0.2	0.2
0.262	0.20161	0.20161
0.26484	0.20322	0.20322
0.2677	0.20483	0.20483
0.27058	0.20644	0.20644
0.27348	0.20804	0.20804
0.27639	0.20965	0.20965
0.27932	0.21125	0.21125
0.28227	0.21285	0.21285
0.28523	0.21445	0.21445
0.28822	0.21605	0.21605
0.29122	0.21764	0.21764
0.29424	0.21923	0.21924
0.29727	0.22083	0.22083
0.30033	0.22241	0.22241
0.3034	0.224	0.224
0.30649	0.22558	0.22558
0.3096	0.22716	0.22716
0.31272	0.22874	0.22874
0.31587	0.23032	0.23032
0.31903	0.23189	0.23189
0.32221	0.23346	0.23346
0.32541	0.23502	0.23502
0.32863	0.23658	0.23659
0.33187	0.23814	0.23814
0.33513	0.2397	0.2397
0.3384	0.24125	0.24125
0.3417	0.2428	0.2428
0.34501	0.24434	0.24434
0.34834	0.24588	0.24588
0.35169	0.24741	0.24741
0.35506	0.24894	0.24894
0.35845	0.25047	0.25047
0.36186	0.25199	0.25199
0.36529	0.25351	0.25351
0.36874	0.25502	0.25502
0.3722	0.25653	0.25653
0.37569	0.25803	0.25803
0.3792	0.25953	0.25953
0.38272	0.26102	0.26102
0.38627	0.2625	0.2625
0.38984	0.26398	0.26398
0.39342	0.26546	0.26546
0.39703	0.26693	0.26693
0.40066	0.26839	0.26839
0.4043	0.26985	0.26985
0.40797	0.2713	0.2713
0.41166	0.27274	0.27274
0.41537	0.27418	0.27418
0.41909	0.27561	0.27561
0.42284	0.27704	0.27704
0.42661	0.27846	0.27846
0.4304	0.27987	0.27987
0.43421	0.28127	0.28127
0.43805	0.28267	0.28267
0.4419	0.28406	0.28406
0.44577	0.28544	0.28544
0.44967	0.28682	0.28682
0.45358	0.28818	0.28818
0.45752	0.28954	0.28954
0.46148	0.29089	0.29089
0.46546	0.29224	0.29224
0.46946	0.29357	0.29357
0.47348	0.2949	0.2949
0.47753	0.29622	0.29622
0.48159	0.29753	0.29753
0.48568	0.29883	0.29883
0.48979	0.30012	0.30012
0.49392	0.3014	0.3014
0.49807	0.30268	0.30268
0.50224	0.30394	0.30394
0.50644	0.3052	0.3052
0.51065	0.30644	0.30644
0.51489	0.30768	0.30768
0.51915	0.30891	0.30891
0.52344	0.31012	0.31013
0.52774	0.31133	0.31133
0.53207	0.31253	0.31253
0.53641	0.31372	0.31372
0.54079	0.31489	0.31489
0.54518	0.31606	0.31606
0.54959	0.31721	0.31722
0.55403	0.31836	0.31836
0.55849	0.31949	0.3195
0.56297	0.32062	0.32062
0.56747	0.32173	0.32173
0.572	0.32283	0.32283
0.57654	0.32392	0.32392
0.58111	0.325	0.325
0.5857	0.32607	0.32607
0.59032	0.32712	0.32713
0.59495	0.32817	0.32817
0.59961	0.3292	0.3292
0.60429	0.33022	0.33022
0.609	0.33123	0.33123
0.61372	0.33223	0.33223
0.61847	0.33321	0.33321
0.62324	0.33418	0.33418
0.62803	0.33514	0.33514
0.63284	0.33609	0.33609
0.63768	0.33702	0.33702
0.64254	0.33794	0.33795
0.64742	0.33885	0.33886
0.65232	0.33975	0.33975
0.65725	0.34063	0.34064
0.66219	0.3415	0.34151
0.66716	0.34236	0.34236
0.67215	0.3432	0.34321
0.67717	0.34404	0.34404
0.6822	0.34485	0.34486
0.68726	0.34566	0.34566
0.69234	0.34645	0.34645
0.69745	0.34722	0.34723
0.70257	0.34799	0.34799
0.70772	0.34874	0.34874
0.71289	0.34947	0.34948
0.71808	0.3502	0.3502
0.72329	0.3509	0.35091
0.72853	0.3516	0.3516
0.73378	0.35228	0.35228
0.73906	0.35295	0.35295
0.74436	0.3536	0.3536
0.74969	0.35424	0.35424
0.75503	0.35486	0.35486
0.7604	0.35547	0.35547
0.76579	0.35606	0.35607
0.7712	0.35664	0.35665
0.77664	0.35721	0.35721
0.78209	0.35776	0.35777
0.78757	0.3583	0.3583
0.79307	0.35882	0.35883
0.79859	0.35933	0.35934
0.80414	0.35983	0.35983
0.80971	0.36031	0.36031
0.81529	0.36077	0.36078
0.82091	0.36122	0.36123
0.82654	0.36166	0.36166
0.83219	0.36208	0.36208
0.83787	0.36249	0.36249
0.84357	0.36288	0.36288
0.84929	0.36325	0.36326
0.85504	0.36362	0.36362
0.86081	0.36396	0.36397
0.86659	0.3643	0.3643
0.87241	0.36461	0.36462
0.87824	0.36492	0.36492
0.8841	0.36521	0.36521
0.88997	0.36548	0.36548
0.89588	0.36574	0.36574
0.9018	0.36598	0.36599
0.90775	0.36621	0.36621
0.91372	0.36642	0.36643
0.91971	0.36662	0.36663
0.92572	0.36681	0.36681
0.93176	0.36698	0.36698
0.93782	0.36713	0.36714
0.94391	0.36727	0.36728
0.95001	0.3674	0.3674
0.95614	0.36751	0.36752
0.96229	0.36761	0.36761
0.96847	0.36769	0.36769
0.97467	0.36775	0.36776
0.98089	0.36781	0.36781
0.98714	0.36784	0.36785
0.99341	0.36787	0.36787
0.99971	0.36787	0.36788
1.006	0.36787	0.36787
1.0124	0.36785	0.36785
1.0187	0.36781	0.36782
1.0251	0.36776	0.36777
1.0315	0.36769	0.3677
1.038	0.36762	0.36762
1.0444	0.36752	0.36753
1.0509	0.36741	0.36742
1.0574	0.36729	0.3673
1.064	0.36715	0.36716
1.0705	0.367	0.36701
1.0771	0.36683	0.36684
1.0837	0.36665	0.36666
